n_experiment,pattern,length,n_rows,n_cols,rank,condnumber,sparsity,isdiag,issymmetric,ishermitian,isposdef,istriu,istril,algorithm,cast_time,calc_time,error
1,baart,256,16,16,11,7.845959254207523e16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,0.002518792,9.786211332350724e-18
1,baart,256,16,16,11,7.845959254207523e16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,umfpack,0.02040575,0.063915416,2.623576460931212e-17
1,baart,256,16,16,11,7.845959254207523e16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.0,0.07487575,3.666869826862147e-17
1,baart,65536,256,256,11,9.213478368459455e18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,0.001073667,1.3518388221385615e-17
1,baart,65536,256,256,11,9.213478368459455e18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,umfpack,0.000101167,0.002218583,4.0385984782808465e-17
1,baart,65536,256,256,11,9.213478368459455e18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.0,0.003495667,8.392508262969748e-18
1,binomial,16,4,4,4,2.618033988749895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,3.416e-6,2.5151691844357284e-17
1,binomial,16,4,4,4,2.618033988749895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,umfpack,1.75e-6,3.1709e-5,3.2205110482870724e-17
1,binomial,16,4,4,4,2.618033988749895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.0,1.1333e-5,3.786084617987729e-17
1,binomial,256,16,16,16,4739.528197796848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.0,4.541e-6,2.870453678121689e-19
1,binomial,256,16,16,16,4739.528197796848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,umfpack,2.5e-6,7.125e-5,2.435649299976805e-15
1,binomial,256,16,16,16,4739.528197796848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.0,1.625e-5,1.9808977921481735e-15
1,blur,256,16,16,16,13.701906206478105,0.234375,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,0.003674584,7.0e-6,4.309615839235242e-17
1,blur,256,16,16,16,13.701906206478105,0.234375,0.0,1.0,1.0,1.0,0.0,0.0,umfpack,3.0e-6,4.3791e-5,3.735925663883781e-17
1,blur,256,16,16,16,13.701906206478105,0.234375,0.0,1.0,1.0,1.0,0.0,0.0,klu,0.0,1.7667e-5,2.890306562401708e-17
1,blur,65536,256,256,256,29.029964945542645,0.91644287109375,0.0,1.0,1.0,1.0,0.0,0.0,dgetrf,3.1041e-5,0.000343417,8.1626327834683e-18
1,blur,65536,256,256,256,29.029964945542645,0.91644287109375,0.0,1.0,1.0,1.0,0.0,0.0,umfpack,5.3125e-5,0.0004665,1.3672861600806002e-17
1,blur,65536,256,256,256,29.029964945542645,0.91644287109375,0.0,1.0,1.0,1.0,0.0,0.0,klu,0.0,0.0004495,1.3473636799208224e-17
1,blur,65536,256,256,256,29.029964945542645,0.91644287109375,0.0,1.0,1.0,1.0,0.0,0.0,splu,0.0,0.069247125,1.1063618214834324e-17
1,cauchy,256,16,16,12,3.196017967132064e17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.0,9.25e-6,1.5444642432895498e-17
1,cauchy,256,16,16,12,3.196017967132064e17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,umfpack,2.417e-6,4.725e-5,1.5515020558760416e-17
1,cauchy,256,16,16,12,3.196017967132064e17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,klu,0.0,1.85e-5,9.631529668870442e-18
