n_experiment,pattern,length,n_rows,n_cols,rank,cond,sparsity,isdiag,issymmetric,ishermitian,isposdef,istriu,istril,algorithm,time,error
1,baart,256,16,16,11,9.779587923090666e16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.006084894,5.773159728050814e-15
1,baart,65536,256,256,11,1.458182699375801e18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,splu,0.004695744,4.591882429849647e-13
1,baart,16777216,4096,4096,14,4.623619015357255e19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.220638843,2.5653257296198717e-11
1,binomial,256,16,16,16,4739.528197796829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,1.989e-5,3.3397062892959184e-11
1,blur,256,16,16,16,13.70190620647811,0.234375,0.0,1.0,1.0,1.0,0.0,0.0,splu,5.325e-5,1.2212453270876722e-15
1,blur,65536,256,256,256,29.029964945542606,0.91644287109375,0.0,1.0,1.0,1.0,0.0,0.0,klu,0.001160442,3.952393967665557e-14
1,blur,16777216,4096,4096,4096,31.28054875136924,0.9941232204437256,0.0,1.0,1.0,1.0,0.0,0.0,klu,0.060740843,8.925082894961633e-13
1,cauchy,256,16,16,12,3.0845770648757574e17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,3.0409e-5,1.4432899320127035e-15
1,cauchy,65536,256,256,20,2.508622330852856e20,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.004049789,9.048206628392563e-12
1,cauchy,16777216,4096,4096,26,2.0376916574637128e22,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.23137979,4.714955093021445e-10
1,chebspec,256,16,16,15,8.356022161877951e15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,1.8339e-5,7.288614156664153e-14
1,chebspec,65536,256,256,255,3.38348296262316e14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,splu,0.004260977,6.248540573849937e-11
1,chebspec,16777216,4096,4096,4095,2.381941597255335e13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.207675022,9.41116964081612e-8
1,circul,256,16,16,16,17.000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,1.452e-5,2.8421709430404007e-13
1,circul,65536,256,256,256,256.99999999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,splu,0.004315087,3.5288394428789616e-9
1,circul,16777216,4096,4096,4096,4097.000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dgetrf,0.487227232,5.311146378517151e-5
1,companion,256,16,16,16,1496.9993319970492,0.87890625,0.0,0.0,0.0,0.0,0.0,0.0,klu,2.274e-5,0.0
1,companion,65536,256,256,256,5.625216999996981e6,0.9922027587890625,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.000159228,1.0587086762825493e-12
1,companion,16777216,4096,4096,4096,2.2914881543072613e10,0.9995117783546448,0.0,0.0,0.0,0.0,0.0,0.0,klu,0.030569745,3.5621638971861103e-10
1,deriv2,256,16,16,16,310.26060675945075,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,4.311e-5,1.231653667943533e-16
1,deriv2,65536,256,256,256,79681.22110174125,0.0,0.0,1.0,1.0,0.0,0.0,0.0,splu,0.004261107,7.13101452887166e-15
1,deriv2,16777216,4096,4096,4096,2.0398647599968016e7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.22746895,5.674932298713707e-13
1,dingdong,256,16,16,16,2.5970414323734836,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,3.102e-5,2.2898349882893854e-15
1,dingdong,65536,256,256,256,3.6884666368943715,0.0,0.0,1.0,1.0,0.0,0.0,0.0,splu,0.004676265,1.4003034842779982e-13
1,dingdong,16777216,4096,4096,4096,4.7939372620180665,0.0,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.220826602,1.4828583456624744e-11
1,fiedler,256,16,16,16,175.37549663067023,0.0625,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,1.483e-5,1.4210854715202004e-13
1,fiedler,65536,256,256,256,45532.985754912974,0.00390625,0.0,1.0,1.0,0.0,0.0,0.0,splu,0.003592512,2.9085640562698245e-9
1,fiedler,16777216,4096,4096,4096,1.1657084628368402e7,0.000244140625,0.0,1.0,1.0,0.0,0.0,0.0,dgetrf,0.222405769,4.0572602301836014e-5
1,forsythe,256,16,16,16,6.7108864e7,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,klu,2.255e-5,0.0
